"accuracy","macro_precision","macro_recall","macro_f1","fold"
0.714285714285714,0.788888888888889,0.633333333333333,0.663398692810457,1
0.384615384615385,0.3,0.388888888888889,0.5,2
0.615384615384615,0.595238095238095,0.380952380952381,0.650793650793651,3
0.461538461538462,0.44047619047619,0.375,0.458333333333333,4
0.384615384615385,0.555555555555556,0.422222222222222,0.36038961038961,5
