"party","frame_main_auto","n","prop"
"Democratic","economy",8,0.533333333333333
"Democratic","governance",1,0.0666666666666667
"Democratic","welfare",6,0.4
"Republican","economy",2,0.181818181818182
"Republican","governance",3,0.272727272727273
"Republican","security",6,0.545454545454545
